"round","12_iid_q0.01 - _step","12_iid_q0.01 - _step__MIN","12_iid_q0.01 - _step__MAX","12_iid_q0.01 - length_unique","12_iid_q0.01 - length_unique__MIN","12_iid_q0.01 - length_unique__MAX","12_iid_q0.1 - _step","12_iid_q0.1 - _step__MIN","12_iid_q0.1 - _step__MAX","12_iid_q0.1 - length_unique","12_iid_q0.1 - length_unique__MIN","12_iid_q0.1 - length_unique__MAX","12_iid_q0.5 - _step","12_iid_q0.5 - _step__MIN","12_iid_q0.5 - _step__MAX","12_iid_q0.5 - length_unique","12_iid_q0.5 - length_unique__MIN","12_iid_q0.5 - length_unique__MAX","8_iid_q0.01 - _step","8_iid_q0.01 - _step__MIN","8_iid_q0.01 - _step__MAX","8_iid_q0.01 - length_unique","8_iid_q0.01 - length_unique__MIN","8_iid_q0.01 - length_unique__MAX","8_iid_q0.1 - _step","8_iid_q0.1 - _step__MIN","8_iid_q0.1 - _step__MAX","8_iid_q0.1 - length_unique","8_iid_q0.1 - length_unique__MIN","8_iid_q0.1 - length_unique__MAX","8_iid_q0.5 - _step","8_iid_q0.5 - _step__MIN","8_iid_q0.5 - _step__MAX","8_iid_q0.5 - length_unique","8_iid_q0.5 - length_unique__MIN","8_iid_q0.5 - length_unique__MAX","4_iid_q0.01 - _step","4_iid_q0.01 - _step__MIN","4_iid_q0.01 - _step__MAX","4_iid_q0.01 - length_unique","4_iid_q0.01 - length_unique__MIN","4_iid_q0.01 - length_unique__MAX","4_iid_q0.1 - _step","4_iid_q0.1 - _step__MIN","4_iid_q0.1 - _step__MAX","4_iid_q0.1 - length_unique","4_iid_q0.1 - length_unique__MIN","4_iid_q0.1 - length_unique__MAX","4_iid,q0.5 - _step","4_iid,q0.5 - _step__MIN","4_iid,q0.5 - _step__MAX","4_iid,q0.5 - length_unique","4_iid,q0.5 - length_unique__MIN","4_iid,q0.5 - length_unique__MAX"
"177","709","709","709","847","847","847","709","709","709","4591","4591","4591","709","709","709","6582","6582","6582","709","709","709","589","589","589","709","709","709","3836","3836","3836","709","709","709","6287","6287","6287","709","709","709","308","308","308","709","709","709","2486","2486","2486","709","709","709","5783","5783","5783"
"178","713","713","713","865","865","865","713","713","713","4545","4545","4545","713","713","713","6606","6606","6606","713","713","713","593","593","593","713","713","713","3816","3816","3816","713","713","713","6284","6284","6284","713","713","713","301","301","301","713","713","713","2488","2488","2488","713","713","713","5810","5810","5810"
"179","717","717","717","865","865","865","717","717","717","4564","4564","4564","717","717","717","6552","6552","6552","717","717","717","594","594","594","717","717","717","3821","3821","3821","717","717","717","6337","6337","6337","717","717","717","308","308","308","717","717","717","2466","2466","2466","717","717","717","5765","5765","5765"
"180","721","721","721","866","866","866","721","721","721","4584","4584","4584","721","721","721","6565","6565","6565","721","721","721","596","596","596","721","721","721","3818","3818","3818","721","721","721","6335","6335","6335","721","721","721","303","303","303","721","721","721","2512","2512","2512","721","721","721","5819","5819","5819"
"181","725","725","725","849","849","849","725","725","725","4607","4607","4607","725","725","725","6605","6605","6605","725","725","725","590","590","590","725","725","725","3805","3805","3805","725","725","725","6335","6335","6335","725","725","725","299","299","299","725","725","725","2516","2516","2516","725","725","725","5810","5810","5810"
"182","729","729","729","851","851","851","729","729","729","4509","4509","4509","729","729","729","6524","6524","6524","729","729","729","588","588","588","729","729","729","3849","3849","3849","729","729","729","6327","6327","6327","729","729","729","308","308","308","729","729","729","2478","2478","2478","729","729","729","5770","5770","5770"
"183","733","733","733","853","853","853","733","733","733","4543","4543","4543","733","733","733","6524","6524","6524","733","733","733","592","592","592","733","733","733","3833","3833","3833","733","733","733","6323","6323","6323","733","733","733","306","306","306","733","733","733","2493","2493","2493","733","733","733","5777","5777","5777"
"184","737","737","737","866","866","866","737","737","737","4548","4548","4548","737","737","737","6571","6571","6571","737","737","737","592","592","592","737","737","737","3824","3824","3824","737","737","737","6349","6349","6349","737","737","737","307","307","307","737","737","737","2512","2512","2512","737","737","737","5794","5794","5794"
"185","741","741","741","863","863","863","741","741","741","4588","4588","4588","741","741","741","6559","6559","6559","741","741","741","591","591","591","741","741","741","3819","3819","3819","741","741","741","6318","6318","6318","741","741","741","308","308","308","741","741","741","2471","2471","2471","741","741","741","5785","5785","5785"
"186","745","745","745","855","855","855","745","745","745","4517","4517","4517","745","745","745","6552","6552","6552","745","745","745","594","594","594","745","745","745","3801","3801","3801","745","745","745","6284","6284","6284","745","745","745","307","307","307","745","745","745","2473","2473","2473","745","745","745","5786","5786","5786"
"187","749","749","749","864","864","864","749","749","749","4554","4554","4554","749","749","749","6555","6555","6555","749","749","749","590","590","590","749","749","749","3796","3796","3796","749","749","749","6333","6333","6333","749","749","749","303","303","303","749","749","749","2501","2501","2501","749","749","749","5793","5793","5793"
"188","753","753","753","872","872","872","753","753","753","4579","4579","4579","753","753","753","6560","6560","6560","753","753","753","591","591","591","753","753","753","3859","3859","3859","753","753","753","6285","6285","6285","753","753","753","305","305","305","753","753","753","2489","2489","2489","753","753","753","5804","5804","5804"
"189","757","757","757","847","847","847","757","757","757","4546","4546","4546","757","757","757","6534","6534","6534","757","757","757","598","598","598","757","757","757","3797","3797","3797","757","757","757","6294","6294","6294","757","757","757","300","300","300","757","757","757","2477","2477","2477","757","757","757","5778","5778","5778"
"190","761","761","761","857","857","857","761","761","761","4554","4554","4554","761","761","761","6531","6531","6531","761","761","761","599","599","599","761","761","761","3847","3847","3847","761","761","761","6295","6295","6295","761","761","761","308","308","308","761","761","761","2497","2497","2497","761","761","761","5793","5793","5793"
"191","765","765","765","859","859","859","765","765","765","4573","4573","4573","765","765","765","6524","6524","6524","765","765","765","596","596","596","765","765","765","3766","3766","3766","765","765","765","6282","6282","6282","765","765","765","304","304","304","765","765","765","2494","2494","2494","765","765","765","5757","5757","5757"
"192","769","769","769","871","871","871","769","769","769","4539","4539","4539","769","769","769","6542","6542","6542","769","769","769","597","597","597","769","769","769","3812","3812","3812","769","769","769","6309","6309","6309","769","769","769","308","308","308","769","769","769","2476","2476","2476","769","769","769","5791","5791","5791"
"193","773","773","773","859","859","859","773","773","773","4619","4619","4619","773","773","773","6574","6574","6574","773","773","773","590","590","590","773","773","773","3864","3864","3864","773","773","773","6326","6326","6326","773","773","773","302","302","302","773","773","773","2466","2466","2466","773","773","773","5785","5785","5785"
"194","777","777","777","864","864","864","777","777","777","4538","4538","4538","777","777","777","6540","6540","6540","777","777","777","594","594","594","777","777","777","3826","3826","3826","777","777","777","6282","6282","6282","777","777","777","307","307","307","777","777","777","2483","2483","2483","777","777","777","5770","5770","5770"
"195","781","781","781","854","854","854","781","781","781","4580","4580","4580","781","781","781","6566","6566","6566","781","781","781","589","589","589","781","781","781","3830","3830","3830","781","781","781","6313","6313","6313","781","781","781","297","297","297","781","781","781","2502","2502","2502","781","781","781","5773","5773","5773"
"196","785","785","785","865","865","865","785","785","785","4574","4574","4574","785","785","785","6583","6583","6583","785","785","785","582","582","582","785","785","785","3813","3813","3813","785","785","785","6286","6286","6286","785","785","785","311","311","311","785","785","785","2499","2499","2499","785","785","785","5798","5798","5798"
"197","789","789","789","863","863","863","789","789","789","4539","4539","4539","789","789","789","6552","6552","6552","789","789","789","589","589","589","789","789","789","3800","3800","3800","789","789","789","6289","6289","6289","789","789","789","302","302","302","789","789","789","2473","2473","2473","789","789","789","5751","5751","5751"
"198","793","793","793","873","873","873","793","793","793","4533","4533","4533","793","793","793","6538","6538","6538","793","793","793","592","592","592","793","793","793","3774","3774","3774","793","793","793","6315","6315","6315","793","793","793","305","305","305","793","793","793","2489","2489","2489","793","793","793","5784","5784","5784"
"199","797","797","797","866","866","866","797","797","797","4579","4579","4579","797","797","797","6558","6558","6558","797","797","797","592","592","592","797","797","797","3852","3852","3852","797","797","797","6313","6313","6313","797","797","797","302","302","302","797","797","797","2483","2483","2483","797","797","797","5812","5812","5812"
